s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
26.348599,-0.1875111,-1.802103,1.4527345,0.6230059,0.602154
26.2986017,-0.1748403,-1.8503064,1.4628021,0.6111335,0.6079433
26.2486043,-0.159854,-1.8978824,1.4759803,0.5992611,0.6137327
26.198607,-0.1426476,-1.9447592,1.4887057,0.5873887,0.6195221
26.1486096,-0.1233163,-1.9908649,1.5046752,0.5755163,0.6253114
26.0986123,-0.1019553,-2.0361279,1.5216895,0.5636439,0.6311008
26.048615,-0.07866,-2.0804763,1.5390218,0.5517714,0.6368902
25.9986176,-0.0535256,-2.1238383,1.5561355,0.539899,0.6426795
25.9486203,-0.0266474,-2.1661422,1.5728968,0.5280266,0.6484689
25.8986229,0.0018794,-2.2073161,1.5900933,0.5161542,0.6542583
25.8486256,0.0319048,-2.2472372,1.6084685,0.5042818,0.6600476
25.7986283,0.0633782,-2.2859953,1.6287511,0.5024544,0.6643812
25.7486309,0.0961999,-2.3236256,1.651653,0.5021896,0.6684882
25.6986336,0.13027,-2.3601631,1.6775547,0.5019248,0.6725952
25.6486362,0.1654889,-2.3956427,1.7059298,0.50166,0.6767023
25.5986389,0.2017567,-2.4300995,1.7364122,0.5013952,0.6808093
25.5486415,0.2389737,-2.4635684,1.7687241,0.5011305,0.6849163
25.4986442,0.27704,-2.4960844,1.8026448,0.5008657,0.6890234
25.4486469,0.3158559,-2.5276824,1.8379964,0.5006009,0.6931304
25.3986495,0.3553215,-2.5583975,1.8745114,0.5003361,0.6972374
25.3486522,0.3954785,-2.5883652,1.9120017,0.5000713,0.7013445
25.2986548,0.4361489,-2.6175416,1.9503428,0.5010608,0.7058545
25.2486575,0.4772881,-2.6459852,1.989458,0.5025124,0.710513
25.1986602,0.5188544,-2.6737566,2.0293054,0.5039641,0.7151715
25.1486628,0.5608059,-2.7009165,2.0699893,0.5054157,0.7198299
25.0986655,0.6031009,-2.7275257,2.1115765,0.5068673,0.7244884
25.0486681,0.6456976,-2.7536448,2.154098,0.5083189,0.7291469
24.9986708,0.6885541,-2.7793345,2.1975534,0.5097706,0.7338054
24.9486734,0.7316287,-2.8046555,2.2418381,0.5112222,0.7384639
24.8986761,0.7748795,-2.8296685,2.2865166,0.5126738,0.7431224
24.8486788,0.8183197,-2.8544531,2.3311733,0.5141254,0.7477808
24.7986814,0.8618902,-2.8789977,2.3754164,0.5153737,0.7475673
24.7486841,0.9055858,-2.9033093,2.4188822,0.5164843,0.7440534
24.6986867,0.949402,-2.9273951,2.4613134,0.5175948,0.7405395
24.6486894,0.993334,-2.9512624,2.5027914,0.5187054,0.7370256
24.5986921,1.0373773,-2.9749183,2.5433904,0.519816,0.7335116
24.5486947,1.0815271,-2.9983701,2.5831776,0.5209265,0.7299977
24.4986974,1.1257788,-3.021625,2.6222121,0.5220371,0.7264838
24.4487,1.1701277,-3.0446902,2.6604035,0.5231477,0.7229699
24.3987027,1.21457,-3.0675733,2.6976517,0.5242582,0.7194559
24.3487053,1.2591447,-3.0902999,2.733846,0.5253688,0.715942
24.298708,1.30381,-3.1128395,2.7688646,0.5265513,0.7101695
24.2487107,1.3485683,-3.1351812,2.8025778,0.5278178,0.701762
24.1987133,1.3934219,-3.1573137,2.8349895,0.5290843,0.6933546
24.148716,1.4383734,-3.1792261,2.8660981,0.5303508,0.6849471
24.0987186,1.483425,-3.2009072,2.8958978,0.5316173,0.6765396
24.0487213,1.5285791,-3.2223461,2.9184745,0.5328838,0.6681321
23.998724,1.5738382,-3.2435316,2.9307523,0.5341503,0.6597246
23.9487266,1.6192046,-3.2644527,2.9330316,0.5354168,0.6513171
23.8987293,1.6646878,-3.2851015,2.9256155,0.5366833,0.6429097
23.8487319,1.7104121,-3.3055204,2.9088109,0.5379498,0.6345022
23.7987346,1.7562513,-3.3256384,2.8888335,0.5405272,0.6262985
23.7487372,1.8022078,-3.3454427,2.869062,0.5458035,0.6185145
23.6987399,1.8482836,-3.3649207,2.8495005,0.5510798,0.6107305
23.6487426,1.8944811,-3.3840596,2.8301528,0.5563561,0.6029465
23.5987452,1.9408024,-3.402847,2.8110221,0.5616324,0.5951625
23.5487479,1.9872498,-3.42127,2.7921112,0.5669087,0.5873785
23.4987505,2.0338254,-3.439316,2.7734215,0.572185,0.5795945
23.4487532,2.0805315,-3.4569724,2.7549509,0.5774613,0.5718105
23.3987559,2.1273891,-3.4742333,2.7366977,0.5827376,0.5640265
23.3487585,2.1745234,-3.4911291,2.7186608,0.5880139,0.5562425
23.2987612,2.2217927,-3.5075935,2.7008399,0.5939157,0.5492748
23.2487638,2.2691963,-3.523613,2.6832356,0.6024443,0.545736
23.1987665,2.3167335,-3.5391743,2.6658527,0.6109729,0.5421972
23.1487691,2.3644038,-3.5542638,2.6486953,0.6195015,0.5386583
23.0987718,2.4122065,-3.568868,2.6317668,0.62803,0.5351195
23.0487745,2.4601411,-3.5829735,2.61507,0.6365586,0.5315807
22.9987771,2.5082069,-3.5965668,2.5986052,0.6450872,0.5280418
22.9487798,2.5564033,-3.6096345,2.5823676,0.6536158,0.524503
22.8987824,2.6047565,-3.6221698,2.5663532,0.6621444,0.5209641
22.8487851,2.6533363,-3.6341755,2.5505593,0.670673,0.5174253
22.7987878,2.7020413,-3.6456116,2.5349845,0.6792389,0.5140408
22.7487904,2.7508673,-3.6564642,2.5196303,0.6884148,0.5131777
22.6987931,2.7998101,-3.6667194,2.5045036,0.6975908,0.5123146
22.6487957,2.8488657,-3.676363,2.4896105,0.7067667,0.5114515
22.5987984,2.8980299,-3.6853812,2.4749564,0.7159426,0.5105884
22.548801,2.9472984,-3.69376,2.4605449,0.7251185,0.5097252
22.4988037,2.9966673,-3.7014853,2.4463973,0.7342944,0.5088621
22.4488064,3.0461323,-3.7085431,2.4325747,0.7434703,0.507999
22.398809,3.0956845,-3.714919,2.4191472,0.7526462,0.5071359
22.3488117,3.1453139,-3.7205973,2.4061949,0.7618222,0.5062728
22.2988143,3.195023,-3.7255622,2.3938097,0.7709981,0.5054096
22.248817,3.2448046,-3.7297965,2.3820794,0.7788876,0.5048566
22.1988197,3.2946516,-3.7332827,2.3710672,0.7866698,0.5043294
22.1488223,3.3445568,-3.7360036,2.3608467,0.7944521,0.5038021
22.098825,3.3945132,-3.7379419,2.3515066,0.8022344,0.5032749
22.0488276,3.4445136,-3.7390804,2.3431573,0.8100167,0.5027477
21.9988303,3.4945509,-3.7394017,2.3358067,0.817799,0.5022204
21.948833,3.544618,-3.7388885,2.3293195,0.8255813,0.5016932
21.8988356,3.5945593,-3.737529,2.323553,0.8333635,0.501166
21.8488383,3.6443378,-3.7353197,2.3183544,0.8411458,0.5006388
21.7988409,3.6941119,-3.7322497,2.3135553,0.8489281,0.5001115
21.7488436,3.743866,-3.7283118,2.3090982,0.8508091,0.5054068
21.6988462,3.7935844,-3.7234988,2.3050831,0.8511069,0.5122641
21.6488489,3.8432513,-3.7178034,2.3016405,0.8514047,0.5191214
21.5988516,3.8928511,-3.7112184,2.2989619,0.8517025,0.5259788
21.5488542,3.9423682,-3.7037365,2.2975524,0.8520003,0.5328361
21.4988569,3.9917868,-3.6953504,2.2973418,0.852298,0.5396935
21.4488595,4.0410913,-3.686053,2.2989025,0.8525958,0.5465508
21.3988622,4.0900658,-3.6758814,2.302946,0.8528936,0.5534082
21.3488649,4.1387117,-3.664858,2.3097929,0.8531914,0.5602655
21.2988675,4.187205,-3.6529794,2.3192967,0.8534891,0.5671229
21.2488702,4.2355343,-3.6402801,2.3317793,0.845247,0.5794225
21.1988728,4.2836882,-3.6267947,2.3468312,0.8324837,0.5946034
21.1488755,4.3316553,-3.6125578,2.3638163,0.8197204,0.6097842
21.0988781,4.3794241,-3.597604,2.3823787,0.8069572,0.6249651
21.0488808,4.4269833,-3.5819677,2.4022703,0.7941939,0.640146
20.9988835,4.4743213,-3.5656836,2.4233046,0.7814306,0.6553269
20.9488861,4.5214268,-3.5487863,2.4455119,0.7686673,0.6705077
20.8988888,4.5683549,-3.5312855,2.4691047,0.755904,0.6856886
20.8488914,4.6151088,-3.513221,2.494281,0.7431407,0.7008695
