s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
4.2484531,2.1060922,-0.1985342,2.8401124,0.9913368,0.5086632
4.2984349,2.1560456,-0.1966153,2.8652497,0.9896042,0.5103958
4.3484167,2.2060038,-0.1947293,2.8898572,0.9878715,0.5121285
4.3983985,2.2559672,-0.1928885,2.9139545,0.9861389,0.5138611
4.4483803,2.3059273,-0.1911057,2.9375600,0.9844063,0.5155937
4.4983621,2.3558737,-0.1893887,2.9594867,0.9826736,0.5173264
4.5483439,2.4058248,-0.1877369,2.9765976,0.9816386,0.5192464
4.5983257,2.4557799,-0.1861495,2.9889909,0.9806035,0.5211665
4.6483075,2.5057388,-0.1846257,2.9967612,0.9795684,0.5230865
4.6982893,2.5557007,-0.1831647,3.0000000,0.9785333,0.5250066
4.7482711,2.6056653,-0.1817659,3.0000000,0.9774983,0.5269266
4.7982529,2.6556320,-0.1804284,3.0000000,0.9764632,0.5288467
4.8482347,2.7056003,-0.1791514,3.0000000,0.9754281,0.5307667
4.8982165,2.7555696,-0.1779342,3.0000000,0.9743931,0.5326868
4.9481983,2.8055405,-0.1767761,3.0000000,0.9733580,0.5346068
4.9981801,2.8555126,-0.1756762,3.0000000,0.9723229,0.5365269
5.0481619,2.9054851,-0.1746337,3.0000000,0.9728883,0.5388459
5.0981437,2.9554580,-0.1736480,3.0000000,0.9734537,0.5411649
5.1481255,3.0054313,-0.1727182,3.0000000,0.9740191,0.5434839
5.1981073,3.0554051,-0.1718436,3.0000000,0.9745845,0.5458030
5.2480891,3.1053793,-0.1710233,3.0000000,0.9751499,0.5481220
5.2980709,3.1553539,-0.1702567,3.0000000,0.9757153,0.5504410
5.3480527,3.2053291,-0.1695428,3.0000000,0.9762807,0.5527601
5.3980345,3.2553048,-0.1688810,3.0000000,0.9768460,0.5550791
5.4480163,3.3052827,-0.1682705,3.0000000,0.9774114,0.5573981
5.4979981,3.3552621,-0.1677105,3.0000000,0.9779768,0.5597171
5.5479799,3.4052420,-0.1672005,3.0000000,0.9793884,0.5618466
5.5979617,3.4552221,-0.1667398,3.0000000,0.9807999,0.5639760
5.6479435,3.5052026,-0.1663278,3.0000000,0.9822114,0.5661055
5.6979254,3.5551831,-0.1659640,3.0000000,0.9836229,0.5682349
5.7479072,3.6051638,-0.1656476,3.0000000,0.9850344,0.5703644
5.7978890,3.6551444,-0.1653780,3.0000000,0.9864460,0.5724938
5.8478708,3.7051250,-0.1651547,3.0000000,0.9878575,0.5746233
5.8978526,3.7551053,-0.1649769,3.0000000,0.9892690,0.5767527
5.9478344,3.8050879,-0.1648441,3.0000000,0.9906805,0.5788821
5.9978162,3.8550710,-0.1647559,3.0000000,0.9920920,0.5810116
6.0477980,3.9050537,-0.1647116,3.0000000,0.9931503,0.5820091
6.0977798,3.9550360,-0.1647110,3.0000000,0.9942086,0.5830067
6.1477616,4.0050180,-0.1647535,3.0000000,0.9952669,0.5840043
6.1977434,4.0549995,-0.1648387,3.0000000,0.9963252,0.5850018
6.2477252,4.1049806,-0.1649661,3.0000000,0.9973835,0.5859994
6.2977070,4.1549613,-0.1651354,3.0000000,0.9984418,0.5869970
6.3476888,4.2049415,-0.1653459,3.0000000,0.9995001,0.5879945
6.3976706,4.2549212,-0.1655974,3.0000000,1.0005583,0.5889921
6.4476524,4.3048988,-0.1658893,3.0000000,1.0016166,0.5899897
6.4976342,4.3548760,-0.1662212,3.0000000,1.0026749,0.5909873
6.5476160,4.4048532,-0.1665924,3.0000000,1.0033558,0.5908751
6.5975978,4.4548307,-0.1670025,3.0000000,1.0040366,0.5907630
6.6475796,4.5048087,-0.1674509,3.0000000,1.0047174,0.5906508
6.6975614,4.5547876,-0.1679371,3.0000000,1.0053983,0.5905387
6.7475432,4.6047676,-0.1684605,3.0000000,1.0060791,0.5904265
6.7975250,4.6547489,-0.1690207,3.0000000,1.0067600,0.5903144
6.8475068,4.7047319,-0.1696170,3.0000000,1.0074408,0.5902022
6.8974886,4.7547160,-0.1702490,3.0000000,1.0081217,0.5900901
6.9474704,4.8046900,-0.1709160,3.0000000,1.0088025,0.5899779
6.9974522,4.8546657,-0.1716176,3.0000000,1.0094833,0.5898658
7.0474340,4.9046425,-0.1723535,3.0000000,1.0103208,0.5890935
7.0974158,4.9546198,-0.1731232,3.0000000,1.0111582,0.5883211
