s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,4.2616003,3.1117420,1.7788144,0.2908854,0.7091146
0.0499640,4.2800893,3.1593612,1.8095679,0.3141539,0.6858461
0.0999279,4.2973412,3.2071904,1.8406545,0.3374224,0.6625776
0.1498919,4.3134269,3.2551809,1.8721648,0.3606909,0.6393091
0.1998558,4.3284174,3.3032839,1.9042494,0.3839594,0.6160406
0.2498198,4.3423838,3.3514503,1.9370405,0.4072279,0.5927721
0.2997837,4.3553970,3.3996315,1.9706356,0.4304964,0.5695036
0.3497477,4.3675280,3.4477786,2.0051058,0.4537649,0.5462351
0.3997117,4.3788479,3.4958428,2.0405037,0.4770334,0.5229666
0.4496756,4.3894276,3.5437751,2.0768680,0.5003019,0.4996981
0.4996396,4.3993382,3.5915268,2.1145272,0.5235703,0.4764297
0.5496035,4.4090478,3.6411119,2.1424607,0.5383807,0.4616193
0.5995675,4.4183118,3.6908721,2.1525266,0.5508123,0.4491877
0.6495314,4.4271876,3.7404055,2.1436204,0.5632439,0.4367561
0.6994954,4.4358178,3.7897321,2.1154526,0.5756755,0.4243245
0.7494594,4.4443447,3.8388716,2.0676571,0.5881070,0.4118930
0.7994233,4.4529109,3.8878441,2.0112673,0.6005386,0.3994614
0.8493873,4.4616587,3.9366694,1.9544462,0.6129702,0.3870298
0.8993512,4.4707307,3.9853674,1.8983643,0.6254017,0.3745983
0.9493152,4.4802693,4.0339580,1.8437543,0.6378333,0.3621667
0.9992791,4.4904052,4.0824060,1.7911857,0.6502649,0.3497351
1.0492431,4.5012379,4.1304893,1.7412263,0.6624670,0.3375330
1.0992071,4.5130038,4.1784325,1.6944837,0.6744896,0.3255104
1.1491710,4.5258876,4.2261756,1.6515705,0.6865122,0.3134878
1.1991350,4.5400736,4.2736583,1.6127710,0.6985348,0.3014652
1.2490989,4.5557466,4.3208205,1.5783544,0.7105574,0.2894426
1.2990629,4.5730912,4.3676022,1.5485646,0.7225801,0.2774199
1.3490268,4.5922919,4.4139431,1.5235281,0.7346027,0.2653973
1.3989908,4.6135333,4.4597830,1.5023800,0.7466253,0.2533747
1.4489548,4.6369999,4.5050620,1.4843274,0.7586479,0.2413521
1.4989187,4.6621560,4.5485433,1.4675735,0.7706705,0.2293295
1.5488827,4.6886503,4.5897905,1.4505145,0.7793033,0.2206967
1.5988466,4.7172891,4.6301256,1.4317787,0.7813985,0.2186015
1.6488106,4.7480215,4.6693159,1.4110707,0.7834937,0.2165063
1.6987745,4.7807968,4.7071282,1.3882631,0.7855889,0.2144111
1.7487385,4.8155643,4.7433298,1.3644015,0.7876842,0.2123158
1.7987025,4.8522731,4.7776876,1.3405551,0.7897794,0.2102206
1.8486664,4.8908727,4.8099686,1.3180717,0.7918746,0.2081254
1.8986304,4.9313121,4.8399399,1.3003050,0.7939698,0.2060302
1.9485943,4.9735408,4.8673687,1.2873376,0.7960651,0.2039349
1.9985583,5.0174431,4.8919883,1.2820431,0.7981603,0.2018397
2.0485222,5.0621258,4.9132791,1.2844331,0.8000000,0.2000000
2.0984862,5.1082115,4.9317091,1.2937115,0.8000000,0.2000000
2.1484502,5.1554944,4.9472892,1.3067176,0.8000000,0.2000000
2.1984141,5.2037684,4.9600302,1.3231006,0.8000000,0.2000000
2.2483781,5.2528276,4.9699429,1.3393482,0.8000000,0.2000000
2.2983420,5.3024660,4.9770381,1.3544053,0.8000000,0.2000000
2.3483060,5.3524777,4.9813268,1.3670788,0.8000000,0.2000000
2.3982699,5.4026566,4.9828196,1.3759951,0.8000000,0.2000000
2.4482339,5.4527969,4.9815275,1.3815202,0.8000000,0.2000000
2.4981978,5.5026926,4.9774613,1.3851155,0.8000000,0.2000000
2.5481618,5.5524422,4.9705836,1.3888155,0.8000000,0.2000000
2.5981258,5.6018934,4.9609111,1.3942888,0.7965146,0.2034854
2.6480897,5.6506443,4.9486032,1.4033330,0.7926524,0.2073476
2.6980537,5.6986066,4.9337878,1.4160120,0.7887901,0.2112099
2.7480176,5.7456919,4.9165928,1.4313239,0.7849279,0.2150721
2.7979816,5.7918121,4.8971461,1.4477439,0.7810657,0.2189343
