s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
4.2462591,3.7390963,0.1528702,2.8553876,0.9545619,0.6812454
4.2962151,3.7859111,0.1703045,2.8425092,0.9390858,0.7011450
4.3461711,3.8325340,0.1882103,2.8296517,0.9236098,0.7210446
4.3961271,3.8789579,0.2065911,2.8168151,0.9081337,0.7409442
4.4460831,3.9251753,0.2254500,2.8039842,0.8926576,0.7608438
4.4960391,3.9711790,0.2447903,2.7911428,0.8771815,0.7807435
4.5459951,4.0170606,0.2646587,2.7782711,0.8617054,0.8006431
4.5959511,4.0627439,0.2850305,2.7653487,0.8402903,0.8261187
4.6459071,4.1081879,0.3058937,2.7523558,0.8188752,0.8515942
4.6958630,4.1533841,0.3272501,2.7392867,0.7974601,0.8770698
4.7458190,4.1983237,0.3491017,2.7261359,0.7760450,0.9025454
4.7957750,4.2429982,0.3714501,2.7129005,0.7546299,0.9280209
4.8457310,4.2873988,0.3942972,2.6995770,0.7332148,0.9534965
4.8956870,4.3315169,0.4176448,2.6861600,0.7117997,0.9789721
4.9456430,4.3753439,0.4414948,2.6726426,0.6903846,1.0044476
4.9955990,4.4188712,0.4658489,2.6590282,0.6689695,1.0299232
5.0455550,4.4622300,0.4907906,2.6453206,0.6475544,1.0553988
5.0955110,4.5052912,0.5162570,2.6315250,0.6246320,1.0858870
5.1454670,4.5480214,0.5422363,2.6176468,0.6015212,1.1170019
5.1954229,4.5904102,0.5687301,2.6036929,0.5784104,1.1481167
5.2453789,4.6324474,0.5957400,2.5896582,0.5552995,1.1792316
5.2953349,4.6741228,0.6232676,2.5755359,0.5321887,1.2103464
5.3452909,4.7154260,0.6513144,2.5613167,0.5090779,1.2414613
5.3952469,4.7563467,0.6798819,2.5469887,0.4859671,1.2725761
5.4452029,4.7968748,0.7089718,2.5326108,0.4628563,1.3036910
5.4951589,4.8370000,0.7385855,2.5182654,0.4397455,1.3348058
5.5451149,4.8768526,0.7688339,2.5040440,0.4166347,1.3659207
5.5950709,4.9162735,0.7996144,2.4900484,0.4029221,1.3880571
5.6450269,4.9552473,0.8309299,2.4763918,0.3918947,1.4076284
5.6949828,4.9937585,0.8627835,2.4631276,0.3808674,1.4271996
5.7449388,5.0317917,0.8951780,2.4502982,0.3698400,1.4467708
5.7948948,5.0693314,0.9281163,2.4379520,0.3588126,1.4663421
5.8448508,5.1063621,0.9616014,2.4261450,0.3477853,1.4859133
5.8948068,5.1428685,0.9956362,2.4149129,0.3367579,1.5054845
5.9447628,5.1788350,1.0302237,2.4041591,0.3257305,1.5250557
5.9947188,5.2142623,1.0653830,2.3937850,0.3147032,1.5446270
6.0446748,5.2491921,1.1011759,2.3836876,0.3036758,1.5641982
6.0946308,5.2835317,1.1375225,2.3737587,0.3100552,1.5537206
6.1445868,5.3172650,1.1744170,2.3639127,0.3251381,1.5282186
6.1945427,5.3503758,1.2118532,2.3541985,0.3402210,1.5027165
6.2444987,5.3828476,1.2498252,2.3446707,0.3553038,1.4772145
6.2944547,5.4146645,1.2883269,2.3353918,0.3703867,1.4517125
6.3444107,5.4458100,1.3273523,2.3264348,0.3854696,1.4262104
6.3943667,5.4762680,1.3668955,2.3178052,0.4005524,1.4007084
6.4443227,5.5060222,1.4069504,2.3094586,0.4156353,1.3752064
6.4942787,5.5350976,1.4475695,2.3012697,0.4307181,1.3497043
6.5442347,5.5635012,1.4887839,2.2931025,0.4458010,1.3242023
6.5941907,5.5911497,1.5304856,2.2848064,0.4656044,1.2926284
6.6441467,5.6180290,1.5726616,2.2762935,0.4891842,1.2561970
6.6941026,5.6441248,1.6152983,2.2675189,0.5127640,1.2197655
6.7440586,5.6694231,1.6583826,2.2585098,0.5363437,1.1833341
6.7940146,5.6939097,1.7019012,2.2492922,0.5599235,1.1469027
6.8439706,5.7175704,1.7458407,2.2398908,0.5835033,1.1104712
6.8939266,5.7403912,1.7901878,2.2303344,0.6070831,1.0740398
6.9438826,5.7623579,1.8349293,2.2206118,0.6306629,1.0376083
