s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
8.4989867,-7.9935235,2.8336758,3.0000000,1.5736846,0.6263154
8.5989747,-8.0883033,2.8655256,3.0000000,1.5776053,0.6223947
8.6989628,-8.1830912,2.8973513,3.0000000,1.5815260,0.6184740
8.7989509,-8.2778873,2.9291527,3.0000000,1.5854466,0.6145534
8.8989390,-8.3726916,2.9609296,3.0000000,1.5893673,0.6106327
8.9989271,-8.4675042,2.9926817,3.0000000,1.5932879,0.6067121
9.0989151,-8.5623251,3.0244089,3.0000000,1.5969399,0.6030601
9.1989032,-8.6571544,3.0561110,3.0000000,1.6005919,0.5994081
9.2988913,-8.7519922,3.0877878,3.0000000,1.6042439,0.5957561
9.3988794,-8.8468385,3.1194390,3.0000000,1.6078959,0.5921041
9.4988675,-8.9416934,3.1510645,3.0000000,1.6115479,0.5884521
9.5988555,-9.0365569,3.1826640,3.0000000,1.6151999,0.5848001
9.6988436,-9.1314291,3.2142374,3.0000000,1.6188519,0.5811481
9.7988317,-9.2263100,3.2457845,3.0000000,1.6225039,0.5774961
9.8988198,-9.3211997,3.2773050,3.0000000,1.6261559,0.5738441
9.9988078,-9.4160984,3.3087989,3.0000000,1.6298079,0.5701921
10.0987959,-9.5110061,3.3402658,3.0000000,1.6331687,0.5668313
10.1987840,-9.6059228,3.3717056,3.0000000,1.6365294,0.5634706
10.2987721,-9.7008486,3.4031181,3.0000000,1.6398901,0.5601099
10.3987602,-9.7957834,3.4345030,3.0000000,1.6432509,0.5567491
10.4987482,-9.8907273,3.4658602,3.0000000,1.6466116,0.5533884
10.5987363,-9.9856804,3.4971894,3.0000000,1.6499723,0.5500277
10.6987244,-10.0806427,3.5284904,3.0000000,1.6533331,0.5466669
10.7987125,-10.1756143,3.5597632,3.0000000,1.6566938,0.5433062
10.8987006,-10.2705953,3.5910073,3.0000000,1.6600545,0.5399455
10.9986886,-10.3655858,3.6222228,3.0000000,1.6634153,0.5365847
11.0986767,-10.4605862,3.6534094,3.0000000,1.6664654,0.5335346
11.1986648,-10.5555960,3.6845668,3.0000000,1.6695155,0.5304845
11.2986529,-10.6506154,3.7156949,3.0000000,1.6725657,0.5274343
11.3986409,-10.7456445,3.7467934,3.0000000,1.6756158,0.5243842
11.4986290,-10.8406832,3.7778622,3.0000000,1.6786659,0.5213341
11.5986171,-10.9357316,3.8089009,3.0000000,1.6817161,0.5182839
11.6986052,-11.0307898,3.8399095,3.0000000,1.6847662,0.5152338
11.7985933,-11.1258578,3.8708877,3.0000000,1.6878164,0.5121836
11.8985813,-11.2209357,3.9018353,3.0000000,1.6908665,0.5091335
11.9985694,-11.3160238,3.9327522,3.0000000,1.6939166,0.5060834
12.0985575,-11.4111223,3.9636383,3.0000000,1.6966392,0.5033608
12.1985456,-11.5062310,3.9944932,3.0000000,1.6993618,0.5006382
12.2985336,-11.6013497,4.0253167,3.0000000,1.7020844,0.4979156
12.3985217,-11.6964785,4.0561086,3.0000000,1.7048070,0.4951930
12.4985098,-11.7916176,4.0868687,3.0000000,1.7075295,0.4924705
12.5984979,-11.8867668,4.1175968,3.0000000,1.7102521,0.4897479
12.6984860,-11.9819264,4.1482927,3.0000000,1.7129747,0.4870253
12.7984740,-12.0770963,4.1789562,3.0000000,1.7156973,0.4843027
12.8984621,-12.1722767,4.2095871,3.0000000,1.7184198,0.4815802
12.9984502,-12.2674678,4.2401853,3.0000000,1.7211424,0.4788576
13.0984383,-12.3626700,4.2707506,3.0000000,1.7235147,0.4764853
13.1984264,-12.4578827,4.3012828,3.0000000,1.7258869,0.4741131
13.2984144,-12.5531061,4.3317815,3.0000000,1.7282591,0.4717409
13.3984025,-12.6483401,4.3622466,3.0000000,1.7306314,0.4693686
13.4983906,-12.7435848,4.3926779,3.0000000,1.7330036,0.4669964
13.5983787,-12.8388403,4.4230751,3.0000000,1.7353758,0.4646242
13.6983667,-12.9341066,4.4534380,3.0000000,1.7377481,0.4622519
13.7983548,-13.0293838,4.4837664,3.0000000,1.7401203,0.4598797
13.8983429,-13.1246719,4.5140601,3.0000000,1.7424926,0.4575074
13.9983310,-13.2199714,4.5443191,3.0000000,1.7448648,0.4551352
14.0983191,-13.3152825,4.5745432,3.0000000,1.7468654,0.4531346
14.1983071,-13.4106047,4.6047319,3.0000000,1.7488660,0.4511340
14.2982952,-13.5059381,4.6348852,3.0000000,1.7508666,0.4491334
14.3982833,-13.6012825,4.6650029,3.0000000,1.7528672,0.4471328
14.4982714,-13.6966382,4.6950846,3.0000000,1.7548678,0.4451322
14.5982595,-13.7920051,4.7251304,3.0000000,1.7568684,0.4431316
14.6982475,-13.8873833,4.7551399,3.0000000,1.7588690,0.4411310
14.7982356,-13.9827729,4.7851131,3.0000000,1.7608696,0.4391304
14.8982237,-14.0781738,4.8150496,3.0000000,1.7628703,0.4371297
14.9982118,-14.1735865,4.8449495,3.0000000,1.7648709,0.4351291
15.0981998,-14.2690113,4.8748127,3.0000000,1.7664871,0.4335129
15.1981879,-14.3644477,4.9046386,3.0000000,1.7681034,0.4318966
15.2981760,-14.4598957,4.9344269,3.0000000,1.7697196,0.4302804
15.3981641,-14.5553553,4.9641776,3.0000000,1.7713359,0.4286641
15.4981522,-14.6508267,4.9938902,3.0000000,1.7729521,0.4270479
15.5981402,-14.7463098,5.0235645,3.0000000,1.7745684,0.4254316
15.6981283,-14.8418048,5.0532003,3.0000000,1.7761847,0.4238153
15.7981164,-14.9373117,5.0827973,3.0000000,1.7778009,0.4221991
