s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
26.0124743,-0.1408451,-1.7923786,1.4990072,0.6314732,0.5876268
25.9625464,-0.1304118,-1.841112,1.5083894,0.6167188,0.5968553
25.9126184,-0.1177934,-1.8893459,1.5206585,0.6019643,0.6060838
25.8626904,-0.1030698,-1.9370132,1.5325122,0.5872098,0.6153123
25.8127625,-0.0863208,-1.9840469,1.5474253,0.5724554,0.6245408
25.7628345,-0.0676261,-2.0303799,1.5633821,0.5577009,0.6337693
25.7129065,-0.0470656,-2.0759451,1.579689,0.5429464,0.6429978
25.6629785,-0.0247191,-2.1206756,1.5959454,0.528192,0.6522263
25.6130506,-0.0006664,-2.1645043,1.6119717,0.5134375,0.6614548
25.5631226,0.02501,-2.2073598,1.6284445,0.498683,0.6706833
25.5131946,0.0522062,-2.2491635,1.6460054,0.4839286,0.6799118
25.4632666,0.080856,-2.289963,1.6652803,0.4803514,0.6870872
25.4133387,0.1108704,-2.3297787,1.6867687,0.4769934,0.6942224
25.3634107,0.1421603,-2.368631,1.7108332,0.4736353,0.7013576
25.3134827,0.1746366,-2.4065403,1.7370338,0.4702773,0.7084928
25.2635547,0.2082104,-2.4435269,1.7650562,0.4669193,0.715628
25.2136268,0.2427927,-2.4796113,1.7946562,0.4635613,0.7227632
25.1636988,0.2782944,-2.5148139,1.8256359,0.4602032,0.7298983
25.1137708,0.3146265,-2.5491549,1.8577894,0.4568452,0.7370335
25.0638428,0.3517073,-2.5826614,1.8908029,0.4534872,0.7441687
25.0139149,0.3894841,-2.6153767,1.9244406,0.4501292,0.7513039
24.9639869,0.4278842,-2.6473111,1.9585293,0.45,0.7573292
24.9140589,0.4668676,-2.6785025,1.9929456,0.45,0.76331
24.8641309,0.5063941,-2.7089889,2.0276484,0.45,0.7692909
24.814203,0.5464234,-2.738808,2.0627623,0.45,0.7752718
24.764275,0.5869155,-2.7679978,2.0983803,0.45,0.7812526
24.714347,0.62783,-2.7965961,2.1345703,0.45,0.7872335
24.6644191,0.669127,-2.8246408,2.1713798,0.45,0.7932144
24.6144911,0.7107661,-2.8521697,2.2086377,0.45,0.7991952
24.5645631,0.7527211,-2.8792295,2.246029,0.45,0.8051761
24.5146351,0.7949802,-2.9058581,2.28325,0.45,0.811157
24.4647072,0.8375017,-2.9320474,2.3200098,0.4516484,0.807975
24.4147792,0.8802762,-2.9578075,2.3560311,0.4533978,0.8042321
24.3648512,0.9232941,-2.9831487,2.3912527,0.4551472,0.8004891
24.3149232,0.9665461,-3.0080813,2.4257589,0.4568965,0.7967461
24.2649953,1.0100226,-3.0326153,2.4596263,0.4586459,0.7930032
24.2150673,1.0537141,-3.056761,2.4929241,0.4603953,0.7892602
24.1651393,1.0976112,-3.0805287,2.5256302,0.4621446,0.7855173
24.1152113,1.1417044,-3.1039284,2.5575996,0.463894,0.7817743
24.0652834,1.1859923,-3.1269744,2.5886819,0.4656433,0.7780313
24.0153554,1.2304723,-3.1496708,2.6187192,0.4673927,0.7742884
23.9654274,1.2751324,-3.1720061,2.6475464,0.470595,0.7646909
23.9154994,1.3199718,-3.1939741,2.6750773,0.4739184,0.7546056
23.8655715,1.3649898,-3.2155687,2.7013363,0.4772418,0.7445202
23.8156435,1.4101855,-3.2367837,2.726342,0.4805652,0.7344349
23.7657155,1.4555581,-3.2576127,2.75011,0.4838886,0.7243495
23.7157876,1.5011067,-3.2780495,2.7726535,0.487212,0.7142641
23.6658596,1.5468307,-3.2980881,2.7939874,0.4905354,0.7041788
23.6159316,1.592729,-3.317722,2.8141267,0.4938587,0.6940934
23.5660036,1.6388151,-3.3369509,2.8330826,0.4971821,0.6840081
23.5160757,1.6850842,-3.355767,2.8478342,0.5005055,0.6739227
23.4661477,1.7315214,-3.3741584,2.8565069,0.507892,0.6633047
23.4162197,1.7781231,-3.3921184,2.8593477,0.5157108,0.6526299
23.3662917,1.824886,-3.4096403,2.856602,0.5235296,0.6419552
23.3163638,1.8718065,-3.4267173,2.8485176,0.5313483,0.6312805
23.2664358,1.9188811,-3.4433425,2.8383737,0.5391671,0.6206057
23.2165078,1.9661065,-3.4595092,2.8283033,0.5469858,0.609931
